Domain                                                 ,Associated Domains
*.googleapis.com                                       ,"*.clients6.google.com, *.clients6.google.com.af, *.clients6.google.com.ag, *.clients6.google.com.ai, *.clients6.google.com.ar, *.clients6.google.com.au, *.clients6.google.com.bd, *.clients6.google.com.bh, *.clients6.google.com.bn, *.clients6.google.com.bo, *.clients6.google.com.br, *.clients6.google.com.by, *.clients6.google.com.bz, *.clients6.google.com.co, *.clients6.google.com.cu, *.clients6.google.com.cy, *.clients6.google.com.do, *.clients6.google.com.ec, *.clients6.google.com.eg, *.clients6.google.com.et, *.clients6.google.com.fj, *.clients6.google.com.ge, *.clients6.google.com.gh, *.clients6.google.com.gi, *.clients6.google.com.gr, *.clients6.google.com.gt, *.clients6.google.com.hk, *.clients6.google.com.iq, *.clients6.google.com.jm, *.clients6.google.com.jo, *.clients6.google.com.kh, *.clients6.google.com.kw, *.clients6.google.com.lb, *.clients6.google.com.ly, *.clients6.google.com.mm, *.clients6.google.com.mt, *.clients6.google.com.mx, *.clients6.google.com.my, *.clients6.google.com.na, *.clients6.google.com.nf, *.clients6.google.com.ng, *.clients6.google.com.ni, *.clients6.google.com.np, *.clients6.google.com.nr, *.clients6.google.com.om, *.clients6.google.com.pa, *.clients6.google.com.pe, *.clients6.google.com.pg, *.clients6.google.com.ph, *.clients6.google.com.pk, *.clients6.google.com.pl, *.clients6.google.com.pr, *.clients6.google.com.py, *.clients6.google.com.qa, *.clients6.google.com.ru, *.clients6.google.com.sa, *.clients6.google.com.sb, *.clients6.google.com.sg, *.clients6.google.com.sl, *.clients6.google.com.sv, *.clients6.google.com.tj, *.clients6.google.com.tn, *.clients6.google.com.tr, *.clients6.google.com.tw, *.clients6.google.com.ua, *.clients6.google.com.uy, *.clients6.google.com.vc, *.clients6.google.com.ve, *.clients6.google.com.vn"
adwords.google.com                                     ,"ads.google.com, adwords.google.com, adwords.google.com.ar, adwords.google.com.au, adwords.google.com.br, adwords.google.com.gr, adwords.google.com.hk, adwords.google.com.ly, adwords.google.com.mx, adwords.google.com.my, adwords.google.com.pe, adwords.google.com.ph, adwords.google.com.pk, adwords.google.com.ru, adwords.google.com.sg, adwords.google.com.tr, adwords.google.com.tw, adwords.google.com.ua, adwords.google.com.vn, *.frame.ads.google.com, frame.ads.google.com, www.ads.google.com, www.adwords.google.com"
*.googleusercontent.com                                ,manifest.lh3.photos.google.com
*.googlecode.com                                       ,"*.cloud.google.com, *.code.google.com, *.developers.google.com"
mx.google.com                                          ,"alt1.aspmx.l.google.com, alt1.gmail-smtp-in.l.google.com, alt1.gmr-smtp-in.l.google.com, alt2.aspmx.l.google.com, alt2.gmail-smtp-in.l.google.com, alt2.gmr-smtp-in.l.google.com, alt3.aspmx.l.google.com, alt3.gmail-smtp-in.l.google.com, alt3.gmr-smtp-in.l.google.com, alt4.aspmx.l.google.com, alt4.gmail-smtp-in.l.google.com, alt4.gmr-smtp-in.l.google.com, aspmx.l.google.com, gmail-smtp-in.l.google.com, gmr-mx.google.com, gmr-smtp-in.l.google.com, mx.google.com, smtp.google.com"
*.mail.google.com                                      ,"*.client-channel.google.com, *.docs.google.com, *.drive.google.com, *.hangouts.google.com, *.mail.google.com, mail-settings.google.com, *.meet.google.com, *.plus.google.com, *.sites.google.com, *.talkgadget.google.com"
us-edg-alt26-1-ac-corpa-nvr01.corp.google.com          ,us-edg-alt26-1-ac-corpa-nvr01.corp.google.com
tensorflow.google.com                                  ,"*.tensorflow.google.com, tensorflow.google.com"
get.duo.google.com                                     ,get.duo.google.com
*.google.com                                           ,"android.clients.google.com, *.appengine.google.com, *.cloud.google.com, *.crowdsource.google.com, *.datacompute.google.com, *.google.com, google.com, *.google.com.ar, *.google.com.au, *.google.com.br, *.google.com.co, *.google.com.mx, *.google.com.tr, *.google.com.vn, *.url.google.com"
devsite-sni.developers.google.com                      ,"devsite-sni.developers.google.com, *.generativeai.google.com"
*.uk.cloud.google.com                                  ,"console.uk.cloud.google.com, *.uk.cloud.google.com"
*.google-analytics.com                                 ,region1.analytics.google.com
*.au.cloud.google.com                                  ,"*.au.cloud.google.com, console.au.cloud.google.com"
*.eu.cloud.google.com                                  ,"console.eu.cloud.google.com, *.eu.cloud.google.com"
id-edg-cgk01-3-ac-corpa-nvr01.corp.google.com          ,id-edg-cgk01-3-ac-corpa-nvr01.corp.google.com
sg-edg-sin10-1-ac-corpa-nvr01.corp.google.com          ,sg-edg-sin10-1-ac-corpa-nvr01.corp.google.com
sg-edg-sin11-1-ac-corpa-nvr01.corp.google.com          ,sg-edg-sin11-1-ac-corpa-nvr01.corp.google.com
jp-edg-nrt12-1-ac-corpa-nvr01.corp.google.com          ,jp-edg-nrt12-1-ac-corpa-nvr01.corp.google.com
us-edg-las14-1-ac-corpa-nvr01.corp.google.com          ,us-edg-las14-1-ac-corpa-nvr01.corp.google.com
us-cs-dfw36-5-xx-corpa-nvr02.corp.google.com           ,us-cs-dfw36-5-xx-corpa-nvr02.corp.google.com
