starting the dnsdmpstr:

false
reversedns


mail-wi0-f210.google.com,209.85.212.210
mail-qk0-f210.google.com,209.85.220.210
mail-yb1-f210.google.com,209.85.219.210
mail-pf1-f210.google.com,209.85.210.210
mail-pg1-f210.google.com,209.85.215.210
mail-oi1-f210.google.com,209.85.167.210
mail-lj1-f210.google.com,209.85.208.210
mail-qk1-f210.google.com,209.85.222.210
mail-il1-f210.google.com,209.85.166.210
mail-pl1-f210.google.com,209.85.214.210
mail-yw1-f210.google.com,209.85.128.210
cache10.google.com,217.9.232.139
mail-pg0-f10.google.com,74.125.83.10
mail-vk0-f10.google.com,209.85.213.10
mail-wm0-f10.google.com,74.125.82.10
mail-oa1-f10.google.com,209.85.160.10
mail-pj1-f10.google.com,209.85.216.10
mail-wm1-f10.google.com,209.85.128.10
mail-oo1-f10.google.com,209.85.161.10
mail-ot1-f10.google.com,209.85.210.10
mail-qv1-f10.google.com,209.85.219.10
gsademo10.google.com,64.233.190.43
rate-limited-proxy-74-125-150-20.google.com,74.125.150.20
rate-limited-proxy-108-177-70-20.google.com,108.177.70.20
rate-limited-proxy-66-249-90-20.google.com,66.249.90.20
google-proxy-74-125-211-20.google.com,74.125.211.20
rate-limited-proxy-192-178-21-20.google.com,192.178.21.20
rate-limited-proxy-74-125-151-20.google.com,74.125.151.20
rate-limited-proxy-66-249-91-20.google.com,66.249.91.20
google-proxy-192-178-12-20.google.com,192.178.12.20
google-proxy-74-125-212-20.google.com,74.125.212.20
google-proxy-142-250-32-20.google.com,142.250.32.20
rate-limited-proxy-66-249-92-20.google.com,66.249.92.20
google-proxy-192-178-13-20.google.com,192.178.13.20
google-proxy-74-125-213-20.google.com,74.125.213.20
rate-limited-proxy-108-177-73-20.google.com,108.177.73.20
google-proxy-64-233-173-20.google.com,64.233.173.20
google-proxy-66-249-93-20.google.com,66.249.93.20
google-proxy-74-125-214-20.google.com,74.125.214.20
rate-limited-proxy-108-177-74-20.google.com,108.177.74.20
google-proxy-66-249-84-20.google.com,66.249.84.20
rate-limited-proxy-108-177-75-20.google.com,108.177.75.20
google-proxy-66-102-6-20.google.com,66.102.6.20
rate-limited-proxy-108-177-76-20.google.com,108.177.76.20
google-proxy-66-102-7-20.google.com,66.102.7.20
rate-limited-proxy-192-178-17-20.google.com,192.178.17.20
rate-limited-proxy-74-125-217-20.google.com,74.125.217.20
rate-limited-proxy-108-177-67-20.google.com,108.177.67.20
rate-limited-proxy-108-177-77-20.google.com,108.177.77.20
rate-limited-proxy-66-249-87-20.google.com,66.249.87.20
google-proxy-192-178-8-20.google.com,192.178.8.20
rate-limited-proxy-209-85-238-20.google.com,209.85.238.20
rate-limited-proxy-74-125-148-20.google.com,74.125.148.20
rate-limited-proxy-108-177-68-20.google.com,108.177.68.20
rate-limited-proxy-108-177-78-20.google.com,108.177.78.20
google-proxy-66-249-88-20.google.com,66.249.88.20
google-proxy-66-102-9-20.google.com,66.102.9.20
google-proxy-74-125-209-20.google.com,74.125.209.20
rate-limited-proxy-74-125-149-20.google.com,74.125.149.20
